[10:56:42] [warning] RAZEL: Pixel data = -1
[10:56:42] [warning] RAZEL: Pixel data = -1
[10:56:42] [warning] RAZEL: Pixel data = -1
[10:56:42] [warning] RAZEL: Pixel data = -1
[10:56:42] [warning] RAZEL: Pixel data = -1
[10:56:42] [warning] RAZEL: Pixel data = -1
[10:56:42] [warning] RAZEL: Pixel data = -1
[10:56:42] [warning] RAZEL: Pixel data = -1
[10:56:42] [warning] RAZEL: Pixel data = -1
[10:56:42] [warning] RAZEL: Pixel data = -1
[10:56:42] [warning] RAZEL: Pixel data = -1
[10:56:42] [warning] RAZEL: Pixel data = -1
[10:56:42] [warning] RAZEL: Pixel data = -1
[10:56:42] [warning] RAZEL: Pixel data = -1
[10:56:42] [warning] RAZEL: Pixel data = -1
[10:56:42] [warning] RAZEL: Pixel data = -1
[10:56:42] [warning] RAZEL: Pixel data = -1
[10:56:42] [warning] RAZEL: Pixel data = -1
[10:56:42] [warning] RAZEL: Pixel data = -1
[10:56:42] [warning] RAZEL: Pixel data = -1
[10:56:42] [warning] RAZEL: Pixel data = -1
[10:56:42] [warning] RAZEL: Pixel data = -1
[10:56:42] [warning] RAZEL: Pixel data = -1
[10:56:43] [warning] RAZEL: Pixel data = -1
[10:56:43] [warning] RAZEL: Pixel data = -1
[10:56:43] [warning] RAZEL: Pixel data = -1
[10:56:43] [warning] RAZEL: Pixel data = -1
[10:56:43] [warning] RAZEL: Pixel data = -1
[10:56:43] [warning] RAZEL: Pixel data = -1
[10:56:43] [warning] RAZEL: Pixel data = -1
[10:56:43] [warning] RAZEL: Pixel data = -1
[10:56:43] [warning] RAZEL: Pixel data = -1
[10:56:43] [warning] RAZEL: Pixel data = -1
[10:56:43] [warning] RAZEL: Pixel data = -1
[10:56:43] [warning] RAZEL: Pixel data = -1
[10:56:43] [warning] RAZEL: Pixel data = -1
[10:56:43] [warning] RAZEL: Pixel data = -1
[10:56:43] [warning] RAZEL: Pixel data = -1
[10:56:43] [warning] RAZEL: Pixel data = -1
[10:56:43] [warning] RAZEL: Pixel data = -1
[10:56:44] [warning] RAZEL: Pixel data = -1
[10:56:44] [warning] RAZEL: Pixel data = -1
[10:56:44] [warning] RAZEL: Pixel data = -1
[10:56:44] [warning] RAZEL: Pixel data = -1
[10:56:44] [warning] RAZEL: Pixel data = -1
[10:56:44] [warning] RAZEL: Pixel data = -1
[10:56:44] [warning] RAZEL: Pixel data = -1
[10:56:44] [warning] RAZEL: Pixel data = -1
[10:56:44] [warning] RAZEL: Pixel data = -1
[10:56:44] [warning] RAZEL: Pixel data = -1
[10:56:44] [warning] RAZEL: Pixel data = -1
[10:56:44] [warning] RAZEL: Pixel data = -1
[10:56:44] [warning] RAZEL: Pixel data = -1
[10:56:44] [warning] RAZEL: Pixel data = -1
[10:56:44] [warning] RAZEL: Pixel data = -1
[10:56:44] [warning] RAZEL: Pixel data = -1
[10:56:44] [warning] RAZEL: Pixel data = -1
[10:56:44] [warning] RAZEL: Pixel data = -1
[10:56:44] [warning] RAZEL: Pixel data = -1
[10:56:44] [warning] RAZEL: Pixel data = -1
[10:56:44] [warning] RAZEL: Pixel data = -1
[10:56:44] [warning] RAZEL: Pixel data = -1
[10:56:44] [warning] RAZEL: Pixel data = -1
[10:56:44] [warning] RAZEL: Pixel data = -1
[10:56:44] [warning] RAZEL: Pixel data = -1
[10:56:44] [warning] RAZEL: Pixel data = -1
[10:56:44] [warning] RAZEL: Pixel data = -1
[10:56:44] [warning] RAZEL: Pixel data = -1
[10:56:44] [warning] RAZEL: Pixel data = -1
[10:56:44] [warning] RAZEL: Pixel data = -1
[10:56:44] [warning] RAZEL: Pixel data = -1
[10:56:44] [warning] RAZEL: Pixel data = -1
[10:56:44] [warning] RAZEL: Pixel data = -1
[10:56:44] [warning] RAZEL: Pixel data = -1
[10:56:44] [warning] RAZEL: Pixel data = -1
[10:56:44] [warning] RAZEL: Pixel data = -1
[10:56:44] [warning] RAZEL: Pixel data = -1
[10:56:44] [warning] RAZEL: Pixel data = -1
[10:56:44] [warning] RAZEL: Pixel data = -1
